             r          p1s           p2s           p2p           p3s           p6p 
   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
   0.35172E-03   0.28118E-01   0.71021E-02   0.64227E-05   0.16172E-02   0.16734E-06
   0.17645E-02   0.13869E+00   0.35030E-01   0.16029E-03   0.79765E-02   0.41762E-05
   0.39655E-02   0.30357E+00   0.76660E-01   0.79896E-03   0.17456E-01   0.20816E-04
   0.64511E-02   0.47936E+00   0.12101E+00   0.20833E-02   0.27553E-01   0.54278E-04
   0.86521E-02   0.62619E+00   0.15799E+00   0.36986E-02   0.35973E-01   0.96362E-04
   0.10065E-01   0.71623E+00   0.18064E+00   0.49633E-02   0.41128E-01   0.12931E-03
   0.10768E-01   0.75986E+00   0.19160E+00   0.56576E-02   0.43623E-01   0.14740E-03
   0.12181E-01   0.84516E+00   0.21300E+00   0.71792E-02   0.48494E-01   0.18704E-03
   0.14382E-01   0.97195E+00   0.24474E+00   0.98785E-02   0.55716E-01   0.25736E-03
   0.16868E-01   0.11066E+01   0.27830E+00   0.13390E-01   0.63351E-01   0.34884E-03
   0.19069E-01   0.12185E+01   0.30607E+00   0.16892E-01   0.69667E-01   0.44006E-03
   0.20482E-01   0.12869E+01   0.32296E+00   0.19327E-01   0.73507E-01   0.50348E-03
   0.21185E-01   0.13200E+01   0.33110E+00   0.20592E-01   0.75358E-01   0.53644E-03
   0.22598E-01   0.13845E+01   0.34694E+00   0.23237E-01   0.78956E-01   0.60533E-03
   0.24799E-01   0.14800E+01   0.37023E+00   0.27627E-01   0.84248E-01   0.71964E-03
   0.27284E-01   0.15809E+01   0.39460E+00   0.32961E-01   0.89781E-01   0.85855E-03
   0.29485E-01   0.16643E+01   0.41453E+00   0.38004E-01   0.94300E-01   0.98985E-03
   0.30898E-01   0.17150E+01   0.42653E+00   0.41392E-01   0.97019E-01   0.10781E-02
   0.31602E-01   0.17394E+01   0.43227E+00   0.43122E-01   0.98321E-01   0.11231E-02
   0.33015E-01   0.17869E+01   0.44337E+00   0.46681E-01   0.10083E+00   0.12158E-02
   0.35216E-01   0.18569E+01   0.45950E+00   0.52441E-01   0.10448E+00   0.13657E-02
   0.37701E-01   0.19301E+01   0.47607E+00   0.59251E-01   0.10823E+00   0.15429E-02
   0.39902E-01   0.19902E+01   0.48933E+00   0.65537E-01   0.11122E+00   0.17065E-02
   0.41315E-01   0.20264E+01   0.49718E+00   0.69693E-01   0.11298E+00   0.18147E-02
   0.42018E-01   0.20438E+01   0.50090E+00   0.71797E-01   0.11382E+00   0.18694E-02
   0.43431E-01   0.20775E+01   0.50798E+00   0.76089E-01   0.11541E+00   0.19811E-02
   0.45632E-01   0.21266E+01   0.51804E+00   0.82948E-01   0.11766E+00   0.21595E-02
   0.48118E-01   0.21775E+01   0.52801E+00   0.90934E-01   0.11989E+00   0.23672E-02
   0.50319E-01   0.22186E+01   0.53566E+00   0.98209E-01   0.12159E+00   0.25564E-02
   0.51732E-01   0.22431E+01   0.54000E+00   0.10297E+00   0.12255E+00   0.26802E-02
   0.52435E-01   0.22548E+01   0.54200E+00   0.10537E+00   0.12299E+00   0.27426E-02
   0.53848E-01   0.22772E+01   0.54570E+00   0.11024E+00   0.12380E+00   0.28692E-02
   0.56049E-01   0.23095E+01   0.55064E+00   0.11797E+00   0.12488E+00   0.30700E-02
   0.58534E-01   0.23423E+01   0.55506E+00   0.12688E+00   0.12583E+00   0.33014E-02
   0.60735E-01   0.23681E+01   0.55798E+00   0.13492E+00   0.12644E+00   0.35104E-02
   0.62148E-01   0.23832E+01   0.55938E+00   0.14016E+00   0.12672E+00   0.36464E-02
   0.62852E-01   0.23903E+01   0.55994E+00   0.14279E+00   0.12683E+00   0.37147E-02
   0.64265E-01   0.24037E+01   0.56080E+00   0.14810E+00   0.12699E+00   0.38528E-02
   0.66466E-01   0.24225E+01   0.56146E+00   0.15649E+00   0.12708E+00   0.40705E-02
   0.68951E-01   0.24407E+01   0.56122E+00   0.16610E+00   0.12695E+00   0.43199E-02
   0.71152E-01   0.24543E+01   0.56019E+00   0.17473E+00   0.12665E+00   0.45438E-02
   0.72565E-01   0.24618E+01   0.55913E+00   0.18033E+00   0.12636E+00   0.46888E-02
   0.73268E-01   0.24652E+01   0.55849E+00   0.18312E+00   0.12619E+00   0.47614E-02
   0.74681E-01   0.24715E+01   0.55698E+00   0.18878E+00   0.12581E+00   0.49080E-02
   0.76882E-01   0.24794E+01   0.55407E+00   0.19766E+00   0.12507E+00   0.51382E-02
   0.79368E-01   0.24861E+01   0.54996E+00   0.20779E+00   0.12405E+00   0.54007E-02
   0.81569E-01   0.24900E+01   0.54565E+00   0.21684E+00   0.12299E+00   0.56351E-02
   0.82982E-01   0.24915E+01   0.54255E+00   0.22269E+00   0.12223E+00   0.57866E-02
   0.83685E-01   0.24920E+01   0.54092E+00   0.22561E+00   0.12184E+00   0.58623E-02
   0.85098E-01   0.24925E+01   0.53745E+00   0.23150E+00   0.12099E+00   0.60147E-02
   0.87299E-01   0.24920E+01   0.53158E+00   0.24073E+00   0.11957E+00   0.62535E-02
   0.89784E-01   0.24895E+01   0.52429E+00   0.25122E+00   0.11782E+00   0.65247E-02
   0.91985E-01   0.24858E+01   0.51727E+00   0.26056E+00   0.11613E+00   0.67662E-02
   0.93398E-01   0.24827E+01   0.51250E+00   0.26658E+00   0.11499E+00   0.69218E-02
   0.94146E-01   0.24808E+01   0.50989E+00   0.26977E+00   0.11437E+00   0.70043E-02
   0.95735E-01   0.24763E+01   0.50417E+00   0.27657E+00   0.11300E+00   0.71800E-02
   0.98211E-01   0.24680E+01   0.49476E+00   0.28721E+00   0.11075E+00   0.74546E-02
   0.10101E+00   0.24569E+01   0.48347E+00   0.29926E+00   0.10806E+00   0.77658E-02
   0.10348E+00   0.24455E+01   0.47290E+00   0.30998E+00   0.10555E+00   0.80421E-02
   0.10507E+00   0.24375E+01   0.46585E+00   0.31687E+00   0.10387E+00   0.82197E-02
   0.10591E+00   0.24331E+01   0.46204E+00   0.32052E+00   0.10297E+00   0.83138E-02
   0.10770E+00   0.24232E+01   0.45375E+00   0.32829E+00   0.10100E+00   0.85139E-02
   0.11049E+00   0.24066E+01   0.44037E+00   0.34041E+00   0.97827E-01   0.88259E-02
